"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/14/2001","AQS","261250010","1","0.0058","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"03/20/2001","AQS","261250010","1","0.0078","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"03/26/2001","AQS","261250010","1","0.0042","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"04/07/2001","AQS","261250010","1","0.0107","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"05/01/2001","AQS","261250010","1","0.0111","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"05/07/2001","AQS","261250010","1","0.0076","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"05/13/2001","AQS","261250010","1","0.0063","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"05/19/2001","AQS","261250010","1","0.0095","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"05/25/2001","AQS","261250010","1","0.0055","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"05/31/2001","AQS","261250010","1","0.0068","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"06/06/2001","AQS","261250010","1","0.0076","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"06/12/2001","AQS","261250010","1","0.0072","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"06/18/2001","AQS","261250010","1","0.007","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"06/24/2001","AQS","261250010","1","0.0076","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"06/30/2001","AQS","261250010","1","0.0138","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"07/06/2001","AQS","261250010","1","0.0049","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"07/12/2001","AQS","261250010","1","0.0038","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"07/18/2001","AQS","261250010","1","0.0145","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"07/24/2001","AQS","261250010","1","0.0079","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"07/30/2001","AQS","261250010","1","0.0174","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"08/05/2001","AQS","261250010","1","0.0084","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"08/11/2001","AQS","261250010","1","0.005","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"08/17/2001","AQS","261250010","1","0.0069","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"08/23/2001","AQS","261250010","1","0.0096","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"08/29/2001","AQS","261250010","1","0.0106","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"09/04/2001","AQS","261250010","1","0.0106","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"09/10/2001","AQS","261250010","1","0.0047","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"09/16/2001","AQS","261250010","1","0.0103","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"09/22/2001","AQS","261250010","1","0.0071","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"10/04/2001","AQS","261250010","1","0.0057","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"10/10/2001","AQS","261250010","1","0.0102","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"10/22/2001","AQS","261250010","1","0.0099","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"10/28/2001","AQS","261250010","1","0.0012","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"11/03/2001","AQS","261250010","1","0.0066","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"11/09/2001","AQS","261250010","1","0.0013","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"11/15/2001","AQS","261250010","1","0.014","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"11/27/2001","AQS","261250010","1","0.0017","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"12/03/2001","AQS","261250010","1","0.0019","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"12/09/2001","AQS","261250010","1","0.0015","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"12/15/2001","AQS","261250010","1","0.0008","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"12/21/2001","AQS","261250010","1","0.0012","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"12/27/2001","AQS","261250010","1","0.0017","ug/m3 SC",".","338 FEET NORTH TO I-696 FREEWAY","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.490313092","-83.279930584"
"03/02/2001","AQS","261630001","2","0.0102","ug/m3 SC",".","Allen Park","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","163","Wayne","42.2286201358284","-83.2082000228824"
"03/08/2001","AQS","261630001","2","0.0072","ug/m3 SC",".","Allen Park","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","163","Wayne","42.2286201358284","-83.2082000228824"
"03/14/2001","AQS","261630001","2","0.0102","ug/m3 SC",".","Allen Park","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","163","Wayne","42.2286201358284","-83.2082000228824"
"03/20/2001","AQS","261630001","2","0.0117","ug/m3 SC",".","Allen Park","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","163","Wayne","42.2286201358284","-83.2082000228824"
"03/26/2001","AQS","261630001","2","0.0064","ug/m3 SC",".","Allen Park","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","163","Wayne","42.2286201358284","-83.2082000228824"
"04/01/2001","AQS","261630001","2","0.0052","ug/m3 SC",".","Allen Park","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","163","Wayne","42.2286201358284","-83.2082000228824"
"04/07/2001","AQS","261630001","2","0.0153","ug/m3 SC",".","Allen Park","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","163","Wayne","42.2286201358284","-83.2082000228824"
"04/13/2001","AQS","261630001","2","0.0122","ug/m3 SC",".","Allen Park","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","163","Wayne","42.2286201358284","-83.2082000228824"
"04/19/2001","AQS","261630001","2","0.0104","ug/m3 SC",".","Allen Park","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","163","Wayne","42.2286201358284","-83.2082000228824"
"04/25/2001","AQS","261630001","2","0.0065","ug/m3 SC",".","Allen Park","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","163","Wayne","42.2286201358284","-83.2082000228824"
"05/01/2001","AQS","261630001","2","0.0151","ug/m3 SC",".","Allen Park","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","163","Wayne","42.2286201358284","-83.2082000228824"
