"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/06/1991","AQS","261470005","4","0.013","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
"01/12/1991","AQS","261470005","4","0.006","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
"01/18/1991","AQS","261470005","4","0.009","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
"01/24/1991","AQS","261470005","4","0.006","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
"02/05/1991","AQS","261470005","4","0.013","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
"02/11/1991","AQS","261470005","4","0.004","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
"02/17/1991","AQS","261470005","4","0.01","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
"02/23/1991","AQS","261470005","4","0.006","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
"03/01/1991","AQS","261470005","4","0.017","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
"03/07/1991","AQS","261470005","4","0.005","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
"03/13/1991","AQS","261470005","4","0.011","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
"03/19/1991","AQS","261470005","4","0.015","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
"03/25/1991","AQS","261470005","4","0.006","ug/m3 SC",".","Port Huron","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","147","St. Clair","42.9533362711269","-82.4562287816265"
