"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/06/1983","AQS","260996001","1","0.2","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"01/18/1983","AQS","260996001","1","0.05","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"01/24/1983","AQS","260996001","1","0.14","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"01/30/1983","AQS","260996001","1","0.08","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"02/05/1983","AQS","260996001","1","0.2","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"02/11/1983","AQS","260996001","1","0.15","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"02/17/1983","AQS","260996001","1","0.14","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"02/23/1983","AQS","260996001","1","0.3","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"03/01/1983","AQS","260996001","1","0.93","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"03/07/1983","AQS","260996001","1","0.28","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"03/13/1983","AQS","260996001","1","0.32","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"03/19/1983","AQS","260996001","1","0.06","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"03/25/1983","AQS","260996001","1","0.3","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"04/06/1983","AQS","260996001","1","0.16","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"04/18/1983","AQS","260996001","1","0.09","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"04/24/1983","AQS","260996001","1","0.04","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"04/30/1983","AQS","260996001","1","0.18","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"05/06/1983","AQS","260996001","1","0.2","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"05/12/1983","AQS","260996001","1","0.2","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"05/18/1983","AQS","260996001","1","0.12","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"05/24/1983","AQS","260996001","1","0.21","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"05/30/1983","AQS","260996001","1","0.16","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"06/05/1983","AQS","260996001","1","0.08","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"06/11/1983","AQS","260996001","1","0.54","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"06/17/1983","AQS","260996001","1","0.21","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"06/23/1983","AQS","260996001","1","0.08","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"06/29/1983","AQS","260996001","1","0.14","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"07/05/1983","AQS","260996001","1","0.07","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"07/11/1983","AQS","260996001","1","0.19","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"07/17/1983","AQS","260996001","1","0.12","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"07/23/1983","AQS","260996001","1","0.07","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"08/04/1983","AQS","260996001","1","0.12","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"08/16/1983","AQS","260996001","1","0.58","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"08/22/1983","AQS","260996001","1","0.06","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"08/28/1983","AQS","260996001","1","0.19","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"09/03/1983","AQS","260996001","1","0.53","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"09/09/1983","AQS","260996001","1","0.25","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"09/15/1983","AQS","260996001","1","0.15","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"09/21/1983","AQS","260996001","1","0.07","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"09/27/1983","AQS","260996001","1","0.47","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"10/03/1983","AQS","260996001","1","0.26","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"10/09/1983","AQS","260996001","1","0.15","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"10/15/1983","AQS","260996001","1","0.57","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"10/21/1983","AQS","260996001","1","0.12","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"10/27/1983","AQS","260996001","1","0.15","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"11/02/1983","AQS","260996001","1","0.34","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"11/08/1983","AQS","260996001","1","1.16","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"11/14/1983","AQS","260996001","1","0.23","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"11/20/1983","AQS","260996001","1","0.08","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"11/26/1983","AQS","260996001","1","0.18","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"12/02/1983","AQS","260996001","1","0.27","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"12/08/1983","AQS","260996001","1","0.69","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"12/14/1983","AQS","260996001","1","0.2","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"12/20/1983","AQS","260996001","1","0.17","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.535035158","-83.067703157"
"01/06/1983","AQS","261253001","1","0.14","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"01/12/1983","AQS","261253001","1","0.12","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"02/05/1983","AQS","261253001","1","0.17","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"02/17/1983","AQS","261253001","1","0.06","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"02/23/1983","AQS","261253001","1","0.2","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"03/01/1983","AQS","261253001","1","0.63","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"03/07/1983","AQS","261253001","1","0.32","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"03/13/1983","AQS","261253001","1","0.15","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"03/19/1983","AQS","261253001","1","0","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"03/25/1983","AQS","261253001","1","0.23","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"03/31/1983","AQS","261253001","1","0.3","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"04/06/1983","AQS","261253001","1","0.18","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"04/18/1983","AQS","261253001","1","0.07","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"04/24/1983","AQS","261253001","1","0.05","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"04/30/1983","AQS","261253001","1","0.2","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"05/06/1983","AQS","261253001","1","0.12","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"05/12/1983","AQS","261253001","1","0.59","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"05/18/1983","AQS","261253001","1","0.12","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"05/24/1983","AQS","261253001","1","0.12","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"05/30/1983","AQS","261253001","1","0.06","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"06/05/1983","AQS","261253001","1","0.12","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
"06/11/1983","AQS","261253001","1","0.36","ug/m3 SC",".","","1","100.0000","12128","Lead (TSP) STP","19820","Detroit-Warren-Dearborn, MI","26","Michigan","125","Oakland","42.494757352","-83.202984284"
